topology,seed,riskS_mean,belief_var_mean,gini_mean,abs_ret_mean,dP_mean,gate_mean,stable_hit,time_to_stability
random_fixed,0,11.058552874208756,0.0006671989148745119,0.22599375774035887,0.0028751644917840023,0.0045617457851237055,0.29376049517584224,1,29
random_fixed,1,7.703217478683398,0.0006717023274794249,0.22371101818134648,0.0023002061561168295,0.004565663300504441,0.36787818193571653,1,29
random_fixed,10,4.736989996054505,0.0006837861566990852,0.22557562613359405,0.0018768720322465474,0.004577446159297224,0.40731115219547626,1,29
random_fixed,11,3.8715939671794604,0.0006862875087595683,0.22856315026601182,0.0017511529691991007,0.004561818994589149,0.43336231823851196,1,29
random_fixed,12,14.417578696066322,0.0006687647752469613,0.2247980406419983,0.003161084209417252,0.0045674288473219185,0.40178799660436115,1,29
random_fixed,13,5.0086374286603625,0.0006878529705872641,0.2258649030872234,0.0018921003285798982,0.004562384312722223,0.39897496083708944,1,29
random_fixed,14,5.066393016648898,0.0006769586638155128,0.22833762446368944,0.0019640841443675154,0.004551257068694568,0.3979595360620229,1,29
random_fixed,15,5.735480322967089,0.0006752514479639275,0.22472714880887587,0.001971346344267235,0.0045603876695498105,0.39517755938476357,1,29
random_fixed,16,3.2132952899773644,0.0006689932114234651,0.22456922632522555,0.00155776718611707,0.004554432344659509,0.45309606940160374,1,29
random_fixed,17,5.112788028303529,0.0006741089623797371,0.22767895915468855,0.0019846567829438122,0.004575066319478879,0.3960694647935181,1,121
random_fixed,18,7.220810440944689,0.0006648997746263401,0.22591723320700463,0.002287065504450643,0.0045607115920766475,0.3614005663521398,1,29
random_fixed,19,3.453576536764816,0.0006785258254795684,0.22598909283738053,0.001626584147668986,0.004569924148216007,0.44600999313917705,1,29
random_fixed,2,29.07055909780174,0.0006776923110791487,0.22640435228057015,0.0049068208297327895,0.004557110827314314,0.2825071217182198,1,29
random_fixed,3,21.11632964666294,0.0006846259938922225,0.2306712115470101,0.0037792106922228588,0.004573436536936395,0.28627425404080636,1,29
random_fixed,4,6.5278011042237765,0.0006779401624269245,0.22600290575209606,0.0022451743346752514,0.004562112388538896,0.36335535051468154,1,29
random_fixed,5,5.16562813192908,0.0006727330292488428,0.22568136160049002,0.0020305624843879656,0.004563513892173283,0.39515827144933185,1,29
random_fixed,6,13.532649632686478,0.0006794306626515417,0.22350284331470413,0.0031717483962166258,0.004562927835320511,0.2670188564622875,0,-1
random_fixed,7,24.679833218779468,0.0006805588044815173,0.22836313029699212,0.004311532279227435,0.0045674909612551055,0.28673129022557853,1,29
random_fixed,8,5.363222181393407,0.0006683804658783896,0.23057511178719217,0.002108364586893929,0.004562255554994188,0.4078373906122147,1,29
random_fixed,9,3.604640609633792,0.0006832002905531334,0.22562439150648472,0.0015981850950501245,0.004576334010695977,0.4412981261114453,1,29
scale_free_extreme,0,8.288380788913187,0.0006620872508136141,0.22967406454775252,0.002434015401974857,0.0045652809710584,0.332636579405948,1,29
scale_free_extreme,1,7.115597905410668,0.0006665862241003775,0.23118334624805612,0.002346538701437841,0.004556933901870837,0.35443033033777654,1,29
scale_free_extreme,10,9.196416935334316,0.0006827981045430711,0.22995620517843218,0.00259601265269188,0.004572076831983514,0.32823397109224955,1,29
scale_free_extreme,11,32.23374675938446,0.0006786796447942034,0.2343646451525281,0.004911019707696012,0.00456115307054781,0.2844165848010915,1,29
scale_free_extreme,12,4.727748153853468,0.0006625681637784201,0.2298572651761136,0.0018064891739284416,0.004563867300623997,0.40921150522081023,1,29
scale_free_extreme,13,4.701427049514789,0.0006861670131286305,0.22861376055255722,0.0018044431494088095,0.0045692882081432564,0.4083095982065542,1,29
scale_free_extreme,14,5.716499394548485,0.000673811668785673,0.23465601147690987,0.0020657265852867825,0.0045660564995057195,0.38237427444854866,1,29
scale_free_extreme,15,11.630951230081774,0.0006779673646015039,0.2311766973349529,0.002946165378796845,0.004561891423456379,0.356407399896553,1,29
scale_free_extreme,16,5.250697501275916,0.0006716507784617392,0.2323245679300774,0.002087548224824364,0.004571834264260708,0.41181995272873,1,29
scale_free_extreme,17,7.666204117038985,0.0006766995633548373,0.23473505699263206,0.0024495263094964524,0.004560335394702743,0.33842540494600937,1,29
scale_free_extreme,18,4.281568846908977,0.0006654879553736913,0.2292737067267938,0.0017261758820993288,0.0045531568204834685,0.42089662762915714,1,29
scale_free_extreme,19,5.213983893193947,0.0006781594621930091,0.23322104290504556,0.0019306441168351035,0.0045633390947744205,0.39301151808477486,1,29
scale_free_extreme,2,6.839387707545564,0.0006806674477427153,0.2330736179994209,0.002200432537998887,0.004566583876951379,0.35699350249442546,1,29
