topology,seed,riskS_mean,belief_var_mean,gini_mean,abs_ret_mean,stable_hit,time_to_stability
random_fixed,0,5.823290411238345,0.0006915107864314099,0.27293811922792527,0.0019588429612856094,1,29
random_fixed,1,4.4630585482168454,0.0006852077287312208,0.2443293711736008,0.0017494547811264278,1,29
random_fixed,10,5.819798423879281,0.0007101388548009288,0.2517792573534035,0.002103830408705458,1,29
random_fixed,11,6.660509346428728,0.0007005984993746156,0.279010354613495,0.002247099513813894,1,29
random_fixed,12,8.568033238646494,0.000695647640846847,0.255822418025741,0.002511944990921647,1,29
random_fixed,13,16.891549171973008,0.0007021496857058414,0.2726297469770853,0.003474561139904208,1,29
random_fixed,14,2.692150826606992,0.0006927642960805408,0.23221829042770623,0.0013768218315832453,1,29
random_fixed,15,8.866776071560693,0.0006970226397793343,0.2524948213759508,0.0026348121374834984,1,29
random_fixed,16,5.142103826000669,0.0006882397615534652,0.2471006060172556,0.001868805288245733,1,29
random_fixed,17,56.82843520689694,0.0007023861235680423,0.2371292323742996,0.006046894916937165,1,29
random_fixed,18,5.828948704812351,0.0006978199968466714,0.2502015732262529,0.0020761122056020625,1,29
random_fixed,19,8.358237873135534,0.000686451919610559,0.23464826032299246,0.002173844341300751,1,29
random_fixed,2,7.398066055928639,0.0006942793413118966,0.23917109911149276,0.0024876107071306656,1,29
random_fixed,3,6.077670968425509,0.0006984238192797096,0.26161359042669374,0.0019645425166669346,1,29
random_fixed,4,19.81763252094013,0.000696869106409235,0.24632621016690004,0.0038238549212314134,1,29
random_fixed,5,5.988504858743668,0.0006915523876400228,0.26575892803841494,0.0020222339376505193,1,29
random_fixed,6,5.989982933189984,0.0007029766307887048,0.25955038184220763,0.0022176037028042027,1,29
random_fixed,7,26.871161461010782,0.0007053603526154084,0.2639462570919205,0.004596253414880397,1,29
random_fixed,8,27.308954237723277,0.0006905178274954157,0.26043602630792695,0.004529733735616021,1,29
random_fixed,9,9.611260195913772,0.0007013650940654126,0.24177423718465982,0.002532739397778932,1,29
scale_free_extreme,0,5.80160608193425,0.0006801123940267331,0.6825189138194137,0.00196115304600867,1,29
scale_free_extreme,1,4.533963005601355,0.0006774871401054174,0.6956051998437038,0.0017579379597572797,1,29
scale_free_extreme,10,5.881493248399957,0.0006917800918040909,0.6795693309404534,0.0021244879845995985,1,29
scale_free_extreme,11,6.906696144827008,0.000687574455335984,0.6376091122014662,0.002282965288409709,1,29
scale_free_extreme,12,8.821481046721994,0.0006806979296183549,0.7058207974216373,0.0025356040613835973,1,29
