topology,seed,riskS_mean_baseline,belief_var_mean_baseline,gini_mean_baseline,abs_ret_mean_baseline,stable_hit_baseline,time_to_stability_baseline,riskS_mean_policy,belief_var_mean_policy,gini_mean_policy,abs_ret_mean_policy,dP_mean,gate_mean,stable_hit_policy,time_to_stability_policy,delta_riskS_mean,delta_belief_var_mean,delta_abs_ret_mean,delta_gini_mean
random_fixed,0,5.823290411238345,0.0006915107864314,0.2729381192279252,0.0019588429612856,1,29,11.058552874208756,0.0006671989148745119,0.22599375774035887,0.0028751644917840023,0.0045617457851237055,0.29376049517584224,1,29,5.235262462970411,-2.4311871556888134e-05,0.0009163215304984025,-0.04694436148756634
random_fixed,1,4.463058548216845,0.0006852077287312,0.2443293711736008,0.0017494547811264,1,29,7.703217478683398,0.0006717023274794249,0.22371101818134648,0.0023002061561168295,0.004565663300504441,0.36787818193571653,1,29,3.2401589304665537,-1.3505401251775106e-05,0.0005507513749904295,-0.020618352992254313
random_fixed,10,5.819798423879281,0.0007101388548009,0.2517792573534035,0.0021038304087054,1,29,4.736989996054505,0.0006837861566990852,0.22557562613359405,0.0018768720322465474,0.004577446159297224,0.40731115219547626,1,29,-1.0828084278247756,-2.6352698101814848e-05,-0.00022695837645885257,-0.026203631219809453
random_fixed,11,6.660509346428728,0.0007005984993746,0.279010354613495,0.0022470995138138,1,29,3.8715939671794604,0.0006862875087595683,0.22856315026601182,0.0017511529691991007,0.004561818994589149,0.43336231823851196,1,29,-2.7889153792492674,-1.4310990615031753e-05,-0.0004959465446146992,-0.05044720434748318
random_fixed,12,8.568033238646494,0.0006956476408468,0.255822418025741,0.0025119449909216,1,29,14.417578696066322,0.0006687647752469613,0.2247980406419983,0.003161084209417252,0.0045674288473219185,0.40178799660436115,1,29,5.849545457419827,-2.688286559983865e-05,0.0006491392184956521,-0.031024377383742724
random_fixed,13,16.891549171973008,0.0007021496857058,0.2726297469770853,0.0034745611399042,1,29,5.0086374286603625,0.0006878529705872641,0.2258649030872234,0.0018921003285798982,0.004562384312722223,0.39897496083708944,1,29,-11.882911743312645,-1.4296715118535907e-05,-0.0015824608113243017,-0.04676484388986191
random_fixed,14,2.692150826606992,0.0006927642960805,0.2322182904277062,0.0013768218315832,1,29,5.066393016648898,0.0006769586638155128,0.22833762446368944,0.0019640841443675154,0.004551257068694568,0.3979595360620229,1,29,2.374242190041906,-1.580563226498714e-05,0.0005872623127843154,-0.0038806659640167607
random_fixed,15,8.866776071560693,0.0006970226397793,0.2524948213759508,0.0026348121374834,1,29,5.735480322967089,0.0006752514479639275,0.22472714880887587,0.001971346344267235,0.0045603876695498105,0.39517755938476357,1,29,-3.1312957485936037,-2.177119181537247e-05,-0.0006634657932161649,-0.027767672567074936
random_fixed,16,5.142103826000669,0.0006882397615534,0.2471006060172556,0.0018688052882457,1,29,3.2132952899773644,0.0006689932114234651,0.22456922632522555,0.00155776718611707,0.004554432344659509,0.45309606940160374,1,29,-1.928808536023305,-1.9246550129934877e-05,-0.00031103810212863,-0.022531379692030035
random_fixed,17,56.82843520689694,0.000702386123568,0.2371292323742996,0.0060468949169371,1,29,5.112788028303529,0.0006741089623797371,0.22767895915468855,0.0019846567829438122,0.004575066319478879,0.3960694647935181,1,121,-51.715647178593414,-2.827716118826288e-05,-0.004062238133993288,-0.009450273219611033
random_fixed,18,5.828948704812351,0.0006978199968466,0.2502015732262529,0.002076112205602,1,29,7.220810440944689,0.0006648997746263401,0.22591723320700463,0.002287065504450643,0.0045607115920766475,0.3614005663521398,1,29,1.3918617361323378,-3.2920222220259856e-05,0.00021095329884864315,-0.024284340019248285
random_fixed,19,8.358237873135534,0.0006864519196105,0.2346482603229924,0.0021738443413007,1,29,3.453576536764816,0.0006785258254795684,0.22598909283738053,0.001626584147668986,0.004569924148216007,0.44600999313917705,1,29,-4.904661336370719,-7.92609413093157e-06,-0.0005472601936317139,-0.00865916748561188
random_fixed,2,7.398066055928639,0.0006942793413118,0.2391710991114927,0.0024876107071306,1,29,29.07055909780174,0.0006776923110791487,0.22640435228057015,0.0049068208297327895,0.004557110827314314,0.2825071217182198,1,29,21.672493041873103,-1.6587030232651325e-05,0.0024192101226021894,-0.012766746830922548
random_fixed,3,6.077670968425509,0.0006984238192797,0.2616135904266937,0.0019645425166669,1,29,21.11632964666294,0.0006846259938922225,0.2306712115470101,0.0037792106922228588,0.004573436536936395,0.28627425404080636,1,29,15.038658678237432,-1.3797825387477404e-05,0.0018146681755559588,-0.030942378879683596
random_fixed,4,19.81763252094013,0.0006968691064092,0.2463262101669,0.0038238549212314,1,29,6.5278011042237765,0.0006779401624269245,0.22600290575209606,0.0022451743346752514,0.004562112388538896,0.36335535051468154,1,29,-13.289831416716353,-1.8928943982275573e-05,-0.0015786805865561485,-0.020323304414803955
random_fixed,5,5.988504858743668,0.00069155238764,0.2657589280384149,0.0020222339376505,1,29,5.16562813192908,0.0006727330292488428,0.22568136160049002,0.0020305624843879656,0.004563513892173283,0.39515827144933185,1,29,-0.822876726814588,-1.8819358391157135e-05,8.328546737465786e-06,-0.04007756643792487
random_fixed,6,5.989982933189984,0.0007029766307887,0.2595503818422076,0.0022176037028042,1,29,13.532649632686478,0.0006794306626515417,0.22350284331470413,0.0031717483962166258,0.004562927835320511,0.2670188564622875,0,-1,7.542666699496494,-2.3545968137158365e-05,0.0009541446934124257,-0.03604753852750345
random_fixed,7,26.871161461010782,0.0007053603526154,0.2639462570919205,0.0045962534148803,1,29,24.679833218779468,0.0006805588044815173,0.22836313029699212,0.004311532279227435,0.0045674909612551055,0.28673129022557853,1,29,-2.1913282422313145,-2.480154813388276e-05,-0.00028472113565286474,-0.035583126794928366
